PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,brca1-p1_activity-Activity_Score,brca1-p1_activity-Curve_Description,brca1-p1_activity-Fit_LogAC50,brca1-p1_activity-Fit_HillSlope,brca1-p1_activity-Fit_R2,brca1-p1_activity-Fit_InfiniteActivity,brca1-p1_activity-Fit_ZeroActivity,brca1-p1_activity-Fit_CurveClass,brca1-p1_activity-Excluded_Points,brca1-p1_activity-Max_Response,brca1-p1_activity-Activity at 0.092 uM,brca1-p1_activity-Activity at 0.184 uM,brca1-p1_activity-Activity at 0.258 uM,brca1-p1_activity-Activity at 0.337 uM,brca1-p1_activity-Activity at 0.369 uM,brca1-p1_activity-Activity at 0.517 uM,brca1-p1_activity-Activity at 0.737 uM,brca1-p1_activity-Activity at 0.922 uM,brca1-p1_activity-Activity at 1.290 uM,brca1-p1_activity-Activity at 1.840 uM,brca1-p1_activity-Activity at 2.115 uM,brca1-p1_activity-Activity at 2.587 uM,brca1-p1_activity-Activity at 3.690 uM,brca1-p1_activity-Activity at 4.610 uM,brca1-p1_activity-Activity at 6.450 uM,brca1-p1_activity-Activity at 9.218 uM,brca1-p1_activity-Activity at 12.69 uM,brca1-p1_activity-Activity at 18.70 uM,brca1-p1_activity-Activity at 36.87 uM,brca1-p1_activity-Activity at 46.10 uM,brca1-p1_activity-Activity at 64.71 uM,brca1-p1_activity-Activity at 92.20 uM,Compound QC
6,842928,645199,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000070320-01/146512530,,Activator,7.0795,184.311,,46,Partial curve; high efficacy,-5.15,1.8265,0.9999,185.208,0.8966,2.1,0 0 0 0,180.514,,,,,1.1847,,,,,15.6115,,,,,,114.156,,,,180.514,,,QC'd by DPISMR
7,842971,645249,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000077038-01/146372650,,Activator,10,174.458,,44,Partial curve; high efficacy,-5,1,1,165.146,-9.3114,2.1,0 0 0 0,134.265,,,,,-3.7345,,,,,17.9825,,,,,,74.6057,,,,134.265,,,QC'd by DPISMR
8,843025,645301,Active,49,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000035015-01/146461062,,Activator,4.4668,214.746,,49,Partial curve; high efficacy,-5.35,1.3987,0.9987,209.669,-5.0775,2.1,0 0 0 0,205.558,,,,,2.456,,,,,43.0742,,,,,,148.198,,,,205.558,,,QC'd by Asinex Ltd.
9,843114,645394,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000035419-01/146568006,,Activator,10,186.965,,45,Partial curve; high efficacy,-5,1.6924,0.9994,202.344,15.3786,2.1,0 0 0 0,188.402,,,,,17.5294,,,,,23.2526,,,,,,104.192,,,,188.402,,,QC'd by DPISMR
10,843206,645490,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000033829-01/146437184,,Activator,11.2202,122.916,,43,Partial curve; high efficacy,-4.95,4.5045,0.9999,121.029,-1.8867,2.1,0 0 0 0,120.787,,,,,-2.6005,,,,,-2.122,,,,,,34.5996,,,,120.787,,,QC'd by DPISMR
11,843273,645554,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000027822-01/146565826,,Activator,5.0119,157.723,,47,Partial curve; high efficacy,-5.3,1.4163,0.9998,168.059,10.3355,2.1,0 0 0 0,160.976,,,,,13.326,,,,,41.2663,,,,,,122.775,,,,160.976,,,QC'd by Asinex Ltd.
12,843376,645665,Active,90,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000070841-01/146571399,,Activator,2.8184,227.848,,90,Complete curve; high efficacy,-5.55,1.5579,0.9996,196.804,-31.0443,1.1,0 0 0 0,192.945,,,,,-24.0618,,,,,48.6847,,,,,,165.584,,,,192.945,,,QC'd by Asinex Ltd.
13,843528,6602641,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000035271-01/146264115,,Activator,11.2202,157.719,,44,Partial curve; high efficacy,-4.95,4.095,0.9992,165.613,7.894,2.1,0 0 0 0,164.299,,,,,6.4198,,,,,6.9324,,,,,,59.5968,,,,164.299,,,QC'd by DPISMR
14,843609,645909,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000031270-01/146620790,,Activator,11.2202,107.049,,42,Partial curve; high efficacy,-4.95,4.9549,0.9998,105.266,-1.7831,2.1,0 0 0 0,105.055,,,,,-2.8346,,,,,-1.1276,,,,,,27.509,,,,105.055,,,QC'd by Asinex Ltd.
15,843756,646058,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000035117-01/146431411,,Activator,2.8184,150.566,,87,Complete curve; high efficacy,-5.55,1.6924,0.9999,141.875,-8.6911,1.1,0 0 0 0,139.917,,,,,-3.6533,,,,,40.2695,,,,,,124.586,,,,139.917,,,QC'd by Asinex Ltd.
16,843804,646109,Active,91,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000030043-01/146421013,,Activator,1.9953,156.185,,91,Complete curve; high efficacy,-5.7,1.3443,0.9998,187.243,31.0582,1.1,0 0 0 0,184.657,,,,,46.6212,,,,,103.884,,,,,,169.973,,,,184.657,,,QC'd by DPISMR
17,843864,646169,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000076152-01/146271469,,Activator,11.2202,104.893,,42,Partial curve; high efficacy,-4.95,1.8579,0.9999,104.649,-0.2439,2.1,0 0 0 0,97.4389,,,,,0,,,,,3.3635,,,,,,43.4183,,,,97.4389,,,QC'd by DPISMR
18,843871,646175,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000031939-01/146365790,,Activator,11.2202,117.255,,43,Partial curve; high efficacy,-4.95,4.9549,1,116.372,-0.883,2.1,0 0 0 0,116.139,,,,,-1.2119,,,,,-1.2249,,,,,,31.4581,,,,116.139,,,QC'd by DPISMR
19,844077,646387,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000072393-01/146418160,,Activator,14.1254,180.345,,43,Partial curve; high efficacy,-4.85,4.095,0.9995,175.349,-4.9968,2.1,0 0 0 0,171.911,,,,,-2.9612,,,,,-6.3928,,,,,,22.4442,,,,171.911,,,QC'd by DPISMR
20,844099,646409,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000075777-01/146367582,,Activator,7.9433,131.742,,43,Partial curve; high efficacy,-5.1,0.91,0.9994,106.035,-25.7075,2.1,0 0 0 0,84.868,,,,,-17.5811,,,,,1.8848,,,,,,43.0248,,,,84.868,,,QC'd by DPISMR
21,844115,646424,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000034992-01/146365954,,Activator,11.2202,140.272,,43,Partial curve; high efficacy,-4.95,4.095,0.9998,137.767,-2.5051,2.1,0 0 0 0,136.674,,,,,-1.9533,,,,,-3.2537,,,,,,41.8748,,,,136.674,,,QC'd by Asinex Ltd.
22,844148,646464,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000029433-01/146313567,,Activator,10,215.192,,45,Partial curve; high efficacy,-5,3.132,0.9996,217.343,2.1517,2.1,0 0 0 0,215.618,,,,,4.1268,,,,,0.4489,,,,,,97.251,,,,215.618,,,QC'd by Asinex Ltd.
23,844715,647044,Active,94,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000030595-01/146313217,,Activator,3.9811,299.835,,94,Complete curve; high efficacy,-5.4,1.9282,0.9998,311.706,11.871,1.1,0 0 0 0,311.084,,,,,14.3082,,,,,67.8969,,,,,,259.171,,,,311.084,,,QC'd by DPISMR
24,844909,647240,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000029292-01/146617406,,Activator,11.2202,105.08,,42,Partial curve; high efficacy,-4.95,4.095,0.9993,103.145,-1.9347,2.1,0 0 0 0,102.939,,,,,-3.3843,,,,,-0.0517,,,,,,30.7702,,,,102.939,,,QC'd by DPISMR
25,845228,647570,Active,85,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000027211-01/146319331,,Activator,6.3096,119.954,,85,Complete curve; high efficacy,-5.2,4.045,0.9998,143.521,23.5662,1.1,0 0 0 0,143.234,,,,,22.3817,,,,,25.2258,,,,,,122.858,,,,143.234,,,QC'd by DPISMR
26,845380,647723,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000031889-01/146431030,,Activator,11.2202,136.921,,43,Partial curve; high efficacy,-4.95,4.9549,0.9999,127.924,-8.9968,2.1,0 0 0 0,127.669,,,,,-9.2083,,,,,-8.7848,,,,,,27.7599,,,,127.669,,,QC'd by Asinex Ltd.
27,845393,647736,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000072231-01/146620840,,Activator,3.1623,157.089,,87,Complete curve; high efficacy,-5.5,1.4781,0.9999,147.09,-9.9993,1.1,0 0 0 0,143.363,,,,,-3.4393,,,,,38.2716,,,,,,120.565,,,,143.363,,,QC'd by Asinex Ltd.
28,845429,647780,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000069054-01/146267310,,Activator,10,124.372,,43,Partial curve; high efficacy,-5,1.2221,1,134.917,10.5448,2.1,0 0 0 0,118.348,,,,,12.8998,,,,,24.9615,,,,,,69.4708,,,,118.348,,,QC'd by DPISMR
29,845501,647851,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000070353-01/146522136,,Activator,2.8184,108.661,,86,Complete curve; high efficacy,-5.55,3.5117,0.9989,117.358,8.6973,1.1,0 0 0 0,114.977,,,,,9.1138,,,,,27.8964,,,,,,117.83,,,,114.977,,,QC'd by DPISMR
30,845568,647925,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000072970-01/146323208,,Activator,7.9433,213.443,,46,Partial curve; high efficacy,-5.1,1.3443,0.9999,211.531,-1.9118,2.1,0 0 0 0,192.651,,,,,1.4742,,,,,23.3096,,,,,,115.697,,,,192.651,,,QC'd by Asinex Ltd.
31,845738,648100,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000073238-01/146427264,,Activator,5.6234,225.254,,48,Partial curve; high efficacy,-5.25,1.4787,0.9999,221.025,-4.2289,2.1,0 0 0 0,211.71,,,,,0.2674,,,,,32.6861,,,,,,146.23,,,,211.71,,,QC'd by Asinex Ltd.
32,846072,648444,Active,51,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000068444-01/146320332,,Activator,3.9811,239.845,,51,Partial curve; high efficacy,-5.4,1,1,246.897,7.0512,2.1,0 0 0 0,228.608,,,,,27.144,,,,,83.2412,,,,,,174.773,,,,228.608,,,QC'd by DPISMR
33,846170,648552,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000034461-01/146459861,,Activator,3.5481,129.146,,86,Complete curve; high efficacy,-5.45,2.3031,1,130.429,1.283,1.1,0 0 0 0,130.168,,,,,1.8725,,,,,25.004,,,,,,117.366,,,,130.168,,,QC'd by Asinex Ltd.
34,846173,648555,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000069084-01/146619889,,Activator,4.4668,149.248,,87,Complete curve; high efficacy,-5.35,1.9282,0.9996,159.53,10.2821,1.1,0 0 0 0,159.212,,,,,12.3251,,,,,31.9163,,,,,,128.688,,,,159.212,,,QC'd by DPISMR
35,846259,648645,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000076131-01/146566065,,Activator,7.0795,181.215,,45,Partial curve; high efficacy,-5.15,1.6266,0.9988,168.432,-12.783,2.1,0 0 0 0,155.955,,,,,-11.3496,,,,,5.1418,,,,,,99.29,,,,155.955,,,QC'd by Asinex Ltd.
36,846539,648931,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000070713-01/146323489,,Activator,6.3096,202.913,,47,Partial curve; high efficacy,-5.2,1.1,0.9999,187.455,-15.458,2.1,0 0 0 0,167.072,,,,,-6.3773,,,,,25.2175,,,,,,106.731,,,,167.072,,,QC'd by Asinex Ltd.
37,846564,648956,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000033907-01/146265704,,Activator,2.8184,128.914,,87,Complete curve; high efficacy,-5.55,1.4781,1,124.101,-4.8126,1.1,0 0 0 0,121.668,,,,,1.3525,,,,,40.0834,,,,,,104.906,,,,121.668,,,QC'd by DPISMR
38,846651,649046,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000034025-01/146367960,,Activator,15.8489,133.737,,42,Partial curve; high efficacy,-4.8,4.095,0.999,141.076,7.3383,2.1,0 0 0 0,138.31,,,,,4.8859,,,,,8.5005,,,,,,22.2011,,,,138.31,,,QC'd by DPISMR
39,846656,5413110,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000073060-01/146429521,,Activator,6.3096,135.209,,45,Partial curve; high efficacy,-5.2,1.331,0.9998,132.167,-3.0431,2.1,0 0 0 0,122.376,,,,,0.6541,,,,,19.0132,,,,,,80.2946,,,,122.376,,,QC'd by Asinex Ltd.
40,846800,649193,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000030943-01/146430161,,Activator,11.2202,176.398,,44,Partial curve; high efficacy,-4.95,4.9549,0.9998,176.41,0.0122,2.1,0 0 0 0,176.058,,,,,-1.4693,,,,,0.1731,,,,,,49.3428,,,,176.058,,,QC'd by Asinex Ltd.
41,846839,649231,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000073602-01/146620425,,Activator,6.3096,207.195,,88,Complete curve; high efficacy,-5.2,4.045,0.999,215.672,8.4778,1.1,0 0 0 0,216.538,,,,,4.5934,,,,,14.2038,,,,,,178.97,,,,216.538,,,QC'd by Asinex Ltd.
42,846893,649286,Active,91,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000075550-01/146432825,,Activator,1.7783,201.612,,91,Complete curve; high efficacy,-5.75,1.4787,0.9998,179.281,-22.3308,1.1,0 0 0 0,178.924,,,,,-4.1182,,,,,81.1019,,,,,,161.727,,,,178.924,,,QC'd by DPISMR
43,846933,649326,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000070505-01/146514944,,Activator,8.9125,132.291,,43,Partial curve; high efficacy,-5.05,1.111,0.9998,126.855,-5.436,2.1,0 0 0 0,108.982,,,,,-1.3131,,,,,13.8204,,,,,,61.0413,,,,108.982,,,QC'd by Asinex Ltd.
44,847098,649501,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000035103-01/146516657,,Activator,2.5119,118.658,,87,Complete curve; high efficacy,-5.6,2.0479,0.9997,121.556,2.8981,1.1,0 0 0 0,122.044,,,,,6.1216,,,,,43.1156,,,,,,112.916,,,,122.044,,,QC'd by DPISMR
45,847161,573743,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000077190-01/146513606,,Activator,7.0795,167.66,,46,Partial curve; high efficacy,-5.15,1.4641,0.9993,169.932,2.2721,2.1,0 0 0 0,157.345,,,,,5.8737,,,,,21.1552,,,,,,103.039,,,,157.345,,,QC'd by DPISMR
46,847296,649694,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000034401-01/146366421,,Activator,2.5119,121.829,,86,Complete curve; high efficacy,-5.6,1.7137,1,115.621,-6.208,1.1,0 0 0 0,114.704,,,,,-2.2495,,,,,39.1185,,,,,,104.204,,,,114.704,,,QC'd by DPISMR
47,847384,649779,Active,89,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000032837-01/146618124,,Activator,3.5481,176.971,,89,Complete curve; high efficacy,-5.45,4.045,0.9999,179.626,2.6542,1.1,0 0 0 0,179.267,,,,,2.3189,,,,,15.1706,,,,,,176.925,,,,179.267,,,QC'd by DPISMR
48,847562,649967,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000029748-01/146314985,,Activator,11.2202,159.116,,44,Partial curve; high efficacy,-4.95,4.9549,0.999,159.012,-0.1038,2.1,0 0 0 0,159.651,,,,,-2.1085,,,,,2.9434,,,,,,41.6857,,,,159.651,,,QC'd by DPISMR
49,847663,650073,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000070728-01/146571499,,Activator,6.3096,202.68,,47,Partial curve; high efficacy,-5.2,0.9,1,196.32,-6.3607,2.1,0 0 0 0,166.939,,,,,7.9222,,,,,44.391,,,,,,112.251,,,,166.939,,,QC'd by Asinex Ltd.
50,847969,650387,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000029731-01/146617867,,Activator,3.9811,174.312,,47,Partial curve; high efficacy,-5.4,1.1105,0.9999,160.039,-14.2736,2.1,0 0 0 0,149.012,,,,,-3.0258,,,,,37.3917,,,,,,111.995,,,,149.012,,,QC'd by Asinex Ltd.
51,848003,650428,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000070447-01/146327627,,Activator,11.2202,178.923,,45,Partial curve; high efficacy,-4.95,1.6436,0.9996,200.215,21.2916,2.1,0 0 0 0,184.36,,,,,20.5781,,,,,32.2987,,,,,,95.9951,,,,184.36,,,QC'd by Asinex Ltd.
52,848076,650500,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000027181-01/146419148,,Activator,5.6234,131.146,,45,Partial curve; high efficacy,-5.25,2.0937,0.9996,132.45,1.3044,2.1,0 0 0 0,131.399,,,,,0.962,,,,,13.7945,,,,,,96.4795,,,,131.399,,,QC'd by DPISMR
53,848251,650689,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000034420-01/146427362,,Activator,11.2202,156.948,,43,Partial curve; high efficacy,-4.95,1.2876,0.9999,149.141,-7.8076,2.1,0 0 0 0,127.471,,,,,-5.9504,,,,,6.2828,,,,,,59.5816,,,,127.471,,,QC'd by Asinex Ltd.
54,848399,650842,Active,89,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000031369-01/146430564,,Activator,3.1623,152.853,,89,Complete curve; high efficacy,-5.5,1.9282,0.9999,173.025,20.1716,1.1,0 0 0 0,172.679,,,,,23.2604,,,,,59.079,,,,,,156.076,,,,172.679,,,QC'd by Asinex Ltd.
55,848421,650863,Active,50,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000075902-01/146516440,,Activator,3.9811,212.456,,50,Partial curve; high efficacy,-5.4,1.111,0.9998,211.529,-0.9273,2.1,0 0 0 0,199.18,,,,,13.7195,,,,,61.4591,,,,,,149.979,,,,199.18,,,QC'd by DPISMR
56,848483,650932,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000030601-01/146513698,,Activator,10,140.929,,43,Partial curve; high efficacy,-5,0.9,0.9989,135.567,-5.361,2.1,0 0 0 0,107.593,,,,,0.3728,,,,,21.9331,,,,,,61.2954,,,,107.593,,,QC'd by DPISMR
57,848492,650941,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000029810-01/146572156,,Activator,2.8184,200.857,,87,Complete curve; high efficacy,-5.55,1.111,0.9999,142.219,-58.6374,1.1,0 0 0 0,133.246,,,,,-40.1926,,,,,19.4015,,,,,,99.9762,,,,133.246,,,QC'd by Asinex Ltd.
58,848590,6602656,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000031305-01/146268790,,Activator,8.9125,202.961,,45,Partial curve; high efficacy,-5.05,0.9,0.9999,191.85,-11.1111,2.1,0 0 0 0,153.726,,,,,-0.2758,,,,,27.9222,,,,,,92.6674,,,,153.726,,,QC'd by Asinex Ltd.
59,848830,651283,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000072368-01/146460946,,Activator,11.2202,202.79,,44,Partial curve; high efficacy,-4.95,1.3437,0.9999,192.224,-10.5659,2.1,0 0 0 0,166.861,,,,,-8.076,,,,,5.4329,,,,,,76.5402,,,,166.861,,,QC'd by Asinex Ltd.
60,849248,624350,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000071568-01/146564689,,Activator,11.2202,141.126,,43,Partial curve; high efficacy,-4.95,1.01,0.9998,130.544,-10.5814,2.1,0 0 0 0,103.607,,,,,-5.6317,,,,,9.2923,,,,,,51.9414,,,,103.607,,,QC'd by Asinex Ltd.
61,849566,95808,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000029627-01/146523113,,Activator,10,119.441,,43,Partial curve; high efficacy,-5,4.9549,0.9986,120.044,0.6029,2.1,0 0 0 0,121.257,,,,,0.6824,,,,,2.2408,,,,,,45.4618,,,,121.257,,,QC'd by DPISMR
62,849610,652109,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000034567-01/146362075,,Activator,3.9811,159.261,,87,Complete curve; high efficacy,-5.4,1.7529,0.9998,164.663,5.4015,1.1,0 0 0 0,161.434,,,,,7.1061,,,,,39.1629,,,,,,135.788,,,,161.434,,,QC'd by DPISMR
63,849655,652152,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000075717-01/146624655,,Activator,10,146.084,,44,Partial curve; high efficacy,-5,4.4495,0.9986,147.241,1.1571,2.1,0 0 0 0,146.947,,,,,-1.51,,,,,4.7501,,,,,,60.5848,,,,146.947,,,QC'd by DPISMR
